score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_directed_valient 	iterations 	 700 	vc 	 3 	arbiters 	 0 	score 	 20092390.00 	min_score 	 20092390.00 	max_score 	 45507928.00 	mean_score 	 27555290.00 	score_param1 	 65536 	score_param2 	 16 	score_param3 	 1353863
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_directed_valient 	iterations 	 900 	vc 	 4 	arbiters 	 0 	score 	 20030970.00 	min_score 	 20030970.00 	max_score 	 53822992.00 	mean_score 	 28640822.00 	score_param1 	 65536 	score_param2 	 17 	score_param3 	 1347720
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_valient 	iterations 	 100 	vc 	 6 	arbiters 	 0 	score 	 52001056.00 	min_score 	 52001056.00 	max_score 	 152107280.00 	mean_score 	 81586784.00 	score_param1 	 135169 	score_param2 	 27 	score_param3 	 3848389
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_valient 	iterations 	 300 	vc 	 5 	arbiters 	 0 	score 	 39795040.00 	min_score 	 39795040.00 	max_score 	 125319904.00 	mean_score 	 62370440.00 	score_param1 	 131072 	score_param2 	 34 	score_param3 	 2668750
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_valient 	iterations 	 500 	vc 	 4 	arbiters 	 0 	score 	 37644440.00 	min_score 	 37644440.00 	max_score 	 127920920.00 	mean_score 	 66746904.00 	score_param1 	 131074 	score_param2 	 25 	score_param3 	 2453679
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_valient 	iterations 	 700 	vc 	 5 	arbiters 	 0 	score 	 36804760.00 	min_score 	 36804760.00 	max_score 	 130604200.00 	mean_score 	 79022632.00 	score_param1 	 131073 	score_param2 	 23 	score_param3 	 2369723
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_valient 	iterations 	 900 	vc 	 5 	arbiters 	 0 	score 	 36804720.00 	min_score 	 36804720.00 	max_score 	 155077632.00 	mean_score 	 68350648.00 	score_param1 	 131074 	score_param2 	 21 	score_param3 	 2369711
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_min_valient 	iterations 	 100 	vc 	 3 	arbiters 	 0 	score 	 18638310.00 	min_score 	 18638310.00 	max_score 	 41146208.00 	mean_score 	 26957324.00 	score_param1 	 131072 	score_param2 	 13 	score_param3 	 553098
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_min_valient 	iterations 	 300 	vc 	 3 	arbiters 	 0 	score 	 18638310.00 	min_score 	 18638310.00 	max_score 	 39302912.00 	mean_score 	 26519082.00 	score_param1 	 131072 	score_param2 	 13 	score_param3 	 553098
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_min_valient 	iterations 	 500 	vc 	 3 	arbiters 	 0 	score 	 18638310.00 	min_score 	 18638310.00 	max_score 	 60294380.00 	mean_score 	 24194502.00 	score_param1 	 131072 	score_param2 	 13 	score_param3 	 553098
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_min_valient 	iterations 	 700 	vc 	 3 	arbiters 	 0 	score 	 18638310.00 	min_score 	 18638310.00 	max_score 	 40776900.00 	mean_score 	 28110460.00 	score_param1 	 131072 	score_param2 	 13 	score_param3 	 553098
score_vs_iteration 	benchmark 	 OuterProduct 	routing 	 route_min_valient 	iterations 	 900 	vc 	 4 	arbiters 	 0 	score 	 18638450.00 	min_score 	 18638450.00 	max_score 	 36353312.00 	mean_score 	 23823970.00 	score_param1 	 131072 	score_param2 	 15 	score_param3 	 553110
